1	The	the	_	DT	_	3	det	_	_
2	old	old	_	JJ	_	3	amod	_	_
3	car	car	_	NN	_	4	nsubj	_	_
4	broke	break	_	VBD	_	0	ROOT	_	_
5	down	down	_	RP	_	4	compound	_	_
6	in	in	_	IN	_	9	case	_	_
7	the	the	_	DT	_	9	det	_	_
8	car	car	_	NN	_	9	compound	_	_
9	park	park	_	NN	_	4	oblin	_	_

1	The	the	_	DT	_	2	det	_	_
2	horses	horse	_	NNS	_	4	nsubj	4:nsubj|7:nsubj	_
3	were	be	_	VBD	_	4	aux	_	_
4	broken	break	_	VBN	_	0	ROOT	_	_
5	in	in	_	IN	_	4	obl	_	_
6	and	and	_	CC	_	7	cc	_	_
7	ridden	ride	_	VBN	_	4	conj	_	_
8	in	in	_	IN	_	10	case	_	_
9	two	two	_	CD	_	10	nummod	_	_
10	weeks	week	_	NNS	_	7	oblin	_	_

1	It	-PRON-	_	PRP	_	6	nsubj	_	_
2	was	be	_	VBD	_	6	cop	_	_
3	my	-PRON-	_	PRP$	_	4	nmodposs	_	_
4	aunt	aunt	_	NN	_	6	compound	_	_
5	’s	’s	_	NN	_	6	compound	_	_
6	car	car	_	NN	_	0	ROOT	_	_
7	which	which	_	WDT	_	9	obj	_	_
8	we	-PRON-	_	PRP	_	9	nsubj	_	_
9	sold	sell	_	VBD	_	6	dep	_	_
10	at	at	_	IN	_	11	case	_	_
11	auction	auction	_	NN	_	9	oblin	_	_
12	last	last	_	JJ	_	13	amod	_	_
13	year	year	_	NN	_	9	obltmod	_	_
14	in	in	_	IN	_	15	case	_	_
15	February	February	_	NNP	_	9	oblin	_	_

1	The	the	_	DT	_	5	det	_	_
2	long	long	_	JJ	_	5	amod	_	_
3	and	and	_	CC	_	4	cc	_	_
4	lonely	lonely	_	JJ	_	2	conj	2:conj|5:amod	_
5	road	road	_	NN	_	8	nsubj	_	_
6	to	to	_	IN	_	7	case	_	_
7	redemption	redemption	_	NN	_	5	nmodtp	_	_
8	begins	begin	_	VBZ	_	0	ROOT	_	_
9	with	with	_	IN	_	12	case	_	_
10	self	self	_	NN	_	12	compound	_	_
11	-	-	_	HYPH	_	12	punct	_	_
12	reflection	reflection	_	NN	_	8	oblwith	_	_
13	the	the	_	DT	_	15	det	_	_
14	need	need	_	NN	_	8	obj	_	_
15	to	to	_	TO	_	17	mark	_	_
16	delve	delve	_	VB	_	8	parataxis	_	_
17	inwards	inward	_	RB	_	17	advmod	_	_
18	to	to	_	IN	_	21	case	_	_
19	deconstruct	deconstruct	_	JJ	_	21	amod	_	_
20	layers	layer	_	NNS	_	17	oblto	_	_
21	of	of	_	IN	_	24	case	_	_
22	psychological	psychological	_	JJ	_	24	amod	_	_
23	obfuscation	obfuscation	_	NN	_	21	nmodof	_	_

1	My	-PRON-	_	PRP$	_	3	nmodposs	_	_
2	wildest	wild	_	JJ	_	3	amod	_	_
3	dream	dream	_	NN	_	4	nsubj	_	_
4	is	be	_	VBZ	_	0	ROOT	_	_
5	to	to	_	TO	_	6	mark	_	_
6	build	build	_	VB	_	4	xcomp	_	_
7	a	a	_	DT	_	9	det	_	_
8	POS	pos	_	NN	_	9	dep	_	_
9	tagger	tagger	_	NN	_	6	obj	11:nsubj|17:nsubj	_
10	which	which	_	WDT	_	9	ref	_	_
11	processes	process	_	VBZ	_	9	aclrelcl	_	_
12	10K	10k	_	CD	_	13	nummod	_	_
13	words	word	_	NNS	_	11	obj	_	_
14	per	per	_	IN	_	15	case	_	_
15	second	second	_	NN	_	13	nmodper	_	_
16	and	and	_	CC	_	17	cc	_	_
17	uses	use	_	VBZ	_	9	aclrelcl	9:acl:recl|11:conj	_
18	only	only	_	RB	_	19	advmod	_	_
19	1	1	_	CD	_	20	nummod	_	_
20	MB	mb	_	NNS	_	17	obj	_	_
21	of	of	_	IN	_	22	case	_	_
22	RAM	ram	_	NNP	_	20	nmodof	_	_
23	but	but	_	CC	_	27	cc	_	_
24	it	-PRON-	_	PRP	_	27	nsubj	_	_
25	may	may	_	MD	_	27	aux	_	_
26	prove	prove	_	VB	_	4	conjbut	_	_
27	too	too	_	RB	_	29	advmod	_	_
28	hard	hard	_	JJ	_	27	xcomp	_	_

1	The	the	_	DT	_	4	det	_	_
2	Penn	Penn	_	NNP	_	4	compound	_	_
3	Treebank	Treebank	_	NNP	_	4	compound	_	_
4	tagset	tagset	_	NNP	_	6	nsubjpass	_	_
5	was	be	_	VBD	_	6	auxpass	_	_
6	culled	cull	_	VBN	_	0	ROOT	_	_
